section,url_count,total_exported_unique_inlinks,total_exported_inlinks,total_outlinks_from_section,top_pages
"window-insulation-home-comfort","1","4","8","58","https://michgc.com/window-insulation-home-comfort/ (4)"
"window-tint-window-film-detroit-michigan","1","4","16","67","https://michgc.com/window-tint-window-film-detroit-michigan/ (4)"
"window-treatments-that-lower-your-energy-bills","1","4","8","59","https://michgc.com/window-treatments-that-lower-your-energy-bills/ (4)"
"your-skin-isnt-the-only-thing-that-needs-protection-from-the-summer-sun","1","4","8","58","https://michgc.com/your-skin-isnt-the-only-thing-that-needs-protection-from-the-summer-sun/ (4)"
"zara-somerset-custom-decorative-film","1","4","8","59","https://michgc.com/zara-somerset-custom-decorative-film/ (4)"
"3m-thinsulate-insulation-windows","1","3","7","58","https://michgc.com/3m-thinsulate-insulation-windows/ (3)"
"3m-window-simulator","2","3","3","0","http://michgc.com/3m-window-simulator/ (3); https://michgc.com/3m-window-simulator/ (0)"
"how-can-i-prevent-furniture-from-fading-in-sunlight","1","3","7","57","https://michgc.com/how-can-i-prevent-furniture-from-fading-in-sunlight/ (3)"
"riot-glass-grand-rapids-schools","1","3","7","61","https://michgc.com/riot-glass-grand-rapids-schools/ (3)"
"sun-control-films","2","3","6","55","http://michgc.com/sun-control-films/ (2); https://michgc.com/sun-control-films/ (1)"
"uncategorized","6","3","3","0","http://michgc.com/uncategorized/choosing-the-right-window-film-for-your-business-or-home/ (1); http://michgc.com/uncategorized/the-market-for-solar-control-windows-is-expected-to-grow/ (1); http://michgc.com/uncategorized/why-decorative-films-may-be-right-for-your-office/ (1); https://michgc.com/uncategorized/choosing-the-right-window-film-for-your-business-or-home/ (0); https://michgc.com/uncategorized/the-market-for-solar-control-windows-is-expected-to-grow/ (0)"
"windows-upgrade-3m-thinsulate-window-film","1","3","7","58","https://michgc.com/windows-upgrade-3m-thinsulate-window-film/ (3)"
"3m-thinsulate-commercial-window-film","1","2","5","55","https://michgc.com/3m-thinsulate-commercial-window-film/ (2)"
"fasara-decorative-series","2","2","2","0","http://michgc.com/fasara-decorative-series/ (2); https://michgc.com/fasara-decorative-series/ (0)"
"residential-window-film","4","2","2","0","http://michgc.com/residential-window-film/choose-window-films-for-a-discreet-option/ (1); http://michgc.com/residential-window-film/incorporate-window-films-into-your-remodeling/ (1); https://michgc.com/residential-window-film/choose-window-films-for-a-discreet-option/ (0); https://michgc.com/residential-window-film/incorporate-window-films-into-your-remodeling/ (0)"
",","2","1","1","0","http://michgc.com/, (1); https://michgc.com/, (0)"
"2016","2","1","1","0","http://michgc.com/2016/05/13/skin-cancer-awareness-month/ (1); https://michgc.com/2016/05/13/skin-cancer-awareness-month/ (0)"
"for-education","2","1","1","0","http://michgc.com/for-education/window-films-a-smart-solution-for-schools/ (1); https://michgc.com/for-education/window-films-a-smart-solution-for-schools/ (0)"
"us","2","1","1","0","http://michgc.com/us/ (1); https://michgc.com/us/ (0)"
"wp-includes","8","0","0","0","https://michgc.com/wp-includes/js/comment-reply.min.js?ver=6.9.4 (0); https://michgc.com/wp-includes/js/dist/hooks.min.js?ver=dd5603f07f9220ed27f1 (0); https://michgc.com/wp-includes/js/dist/i18n.min.js?ver=c26c3dc7bed366793375 (0); https://michgc.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1 (0); https://michgc.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1 (0)"
